Date,S&P 500 ^GSPC,NASDAQ ^IXIC,Dow Jones ^DJI,CPALWE01USQ661N,RealInterestRate,UnemploymentRate,GDP_Growth,M2_Supply,FedFundsRate
2014-04-01,1883.949951171875,4114.56005859375,16580.83984375,100.996649554952,0.7022221,6.2,5.3,11392.2,0.09
2014-07-01,1930.6700439453125,4369.77001953125,16563.30078125,101.048991271587,0.59099495,6.2,5.0,11426.4,0.09
2014-10-01,2018.050048828125,4630.740234375,17390.51953125,99.8934472197058,0.7009647,5.7,2.0,11556.2,0.09
2015-01-01,1994.989990234375,4635.240234375,17164.94921875,99.0423191406756,0.7099428,5.7,3.6,11830.1,0.11
2015-04-01,2085.510009765625,4941.419921875,17840.51953125,100.402916181355,0.41032252,5.4,2.5,12122.2,0.12
2015-07-01,2103.840087890625,5128.27978515625,17689.859375,100.633133456998,0.6670749,5.2,1.6,12091.4,0.13
2015-10-01,2079.360107421875,5053.75,17663.5390625,99.9216312209712,0.52877171,5.0,0.7,12180.8,0.12
2016-01-01,1940.239990234375,4613.9501953125,16466.30078125,99.8291704413097,0.73450597,4.8,2.3,12496.9,0.34
2016-04-01,2065.300048828125,4775.35986328125,17773.640625,101.11197388666,0.34527268,5.1,1.3,12825.3,0.37
2016-07-01,2173.60009765625,5162.1298828125,18432.240234375,101.400572307781,0.16534694,4.8,2.9,12869.3,0.39
2016-10-01,2126.14990234375,5189.14013671875,18142.419921875,101.56838215205,0.28979681,4.9,2.2,13050.0,0.4
2017-01-01,2278.8701171875,5614.7900390625,19864.08984375,102.380829127303,0.72565107,4.7,2.0,13348.9,0.65
2017-04-01,2384.199951171875,6047.60986328125,20940.509765625,102.936887968595,0.76575378,4.4,2.3,13585.2,0.9
2017-07-01,2470.300048828125,6348.1201171875,21891.119140625,103.389845131789,0.72501612,4.3,3.2,13567.0,1.15
2017-10-01,2575.260009765625,6727.669921875,23377.240234375,103.786865680227,0.72914351,4.2,4.6,13744.8,1.15
2018-01-01,2823.81005859375,7411.47998046875,26149.390625,104.736637763686,0.87378801,4.0,3.3,13970.0,1.41
2018-04-01,2648.050048828125,7066.27001953125,24163.150390625,105.916195735013,1.01435433,4.0,2.1,14160.0,1.69
2018-07-01,2816.2900390625,7671.7900390625,25415.189453125,106.27324101635,1.15523371,3.8,2.5,14123.2,1.91
2018-10-01,2711.739990234375,7305.89990234375,25115.759765625,106.086450110004,1.30012681,3.8,0.6,14215.5,2.19
2019-01-01,2704.10009765625,7281.740234375,24999.669921875,106.282300159613,1.04043434,4.0,2.5,14549.1,2.4
2019-04-01,2945.830078125,8095.39013671875,26592.91015625,107.695957896553,0.42030375,3.7,3.4,14670.3,2.42
2019-07-01,2980.3798828125,8175.419921875,26864.26953125,107.933077376587,0.44057188,3.7,4.8,14795.4,2.4
2019-10-01,3037.56005859375,8292.3603515625,27046.23046875,108.133097508017,0.36832453,3.6,2.8,15133.5,1.83
2020-01-01,3225.52001953125,9150.9404296875,28256.029296875,108.518614382468,0.50509631,3.6,-5.5,15505.5,1.55
2020-04-01,2912.429931640625,8889.5498046875,24345.720703125,107.859885250852,-0.11159442,14.8,-28.1,16787.7,0.05
2020-07-01,3271.1201171875,10745.26953125,26428.3203125,109.318982500036,-0.3453445,10.2,35.2,18357.3,0.09
2020-10-01,3269.9599609375,10911.58984375,26501.599609375,109.570050184778,-0.29173845,6.9,4.4,18645.4,0.09
2021-01-01,3714.239990234375,13070.6904296875,29982.619140625,110.877298937348,-0.23501721,6.4,5.6,19365.4,0.09
2021-04-01,4181.169921875,13962.6796875,33874.8515625,113.78010727176,0.11804694,6.1,6.4,20306.1,0.07
2021-07-01,4395.259765625,14672.6796875,34935.46875,115.793394015214,0.03504108,5.4,3.5,20556.3,0.1
2021-10-01,4605.3798828125,15498.3896484375,35819.55859375,117.699696590599,0.08790114,4.5,7.4,21049.4,0.08
2022-01-01,4515.5498046875,14239.8798828125,35131.859375,120.560660310887,0.3194951,4.0,-1.0,21728.3,0.08
2022-04-01,4131.93017578125,12334.6396484375,32977.2109375,124.40346260587,0.94940027,3.7,0.3,21996.9,0.33
2022-07-01,4130.2900390625,12390.6904296875,32845.12890625,125.92237895978,1.06217493,3.5,2.7,21626.1,1.68
2022-10-01,3871.97998046875,10988.150390625,32732.94921875,126.044174108106,1.79733203,3.6,3.4,21429.5,3.08
2023-01-01,4076.60009765625,11584.5498046875,34086.0390625,127.208058323627,1.78309897,3.5,2.8,21364.4,4.33
2023-04-01,4169.47998046875,12226.580078125,34098.16015625,128.770113454985,1.44391386,3.4,2.4,20924.5,4.83
2023-07-01,4588.9599609375,14346.01953125,35559.53125,129.949383834462,1.4260473,3.5,4.4,20744.8,5.12
2023-10-01,4193.7998046875,12851.240234375,33052.87109375,129.994823346706,2.08246076,3.9,3.2,20664.7,5.33
